timestamp,date (UTC),unit id,sensor type,measurement type,data key,value
1609516803032,01.01.2021 16:00:03:032,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,466.0
1609516807502,01.01.2021 16:00:07:502,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,467.0
1609516813083,01.01.2021 16:00:13:083,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,464.0
1609516817494,01.01.2021 16:00:17:494,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,461.0
1609516823062,01.01.2021 16:00:23:062,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,456.0
1609516827502,01.01.2021 16:00:27:502,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,453.0
1609516833042,01.01.2021 16:00:33:042,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,453.0
1609516837502,01.01.2021 16:00:37:502,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,455.0
1609516843174,01.01.2021 16:00:43:174,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,456.0
1609516847422,01.01.2021 16:00:47:422,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,460.0
1609516853232,01.01.2021 16:00:53:232,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,463.0
1609516857702,01.01.2021 16:00:57:702,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,465.0
1609516863223,01.01.2021 16:01:03:223,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,464.0
1609516867733,01.01.2021 16:01:07:733,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,465.0
1609516873272,01.01.2021 16:01:13:272,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,464.0
1609516877532,01.01.2021 16:01:17:532,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,465.0
1609516883223,01.01.2021 16:01:23:223,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,463.0
1609516887672,01.01.2021 16:01:27:672,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,461.0
1609516893232,01.01.2021 16:01:33:232,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,455.0
1609516897692,01.01.2021 16:01:37:692,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,453.0
1609516903264,01.01.2021 16:01:43:264,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,451.0
1609516907782,01.01.2021 16:01:47:782,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,451.0
1609516913252,01.01.2021 16:01:53:252,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,451.0
1609516917682,01.01.2021 16:01:57:682,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,450.0
1609516923292,01.01.2021 16:02:03:292,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,447.0
1609516927692,01.01.2021 16:02:07:692,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,445.0
1609516933252,01.01.2021 16:02:13:252,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,442.0
1609516937693,01.01.2021 16:02:17:693,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,440.0
1609516943292,01.01.2021 16:02:23:292,datalogger63011d,WuhanIAQ,CO2 concentration,WUHAN_IAQ_CO2,440.0
